workload,impl,calls,glyphs,ns_per_call,ns_per_glyph,allocs_per_call,bytes_per_call
latin_word_warm,runic,1,10,621.0,62.1,0.00,0.0
latin_word_warm,kb,1,10,1443.0,144.3,0.00,0.0
latin_word_warm,hb,1,10,601.0,60.1,0.00,0.0
latin_para_warm,runic,1,363,12083.0,33.3,0.00,0.0
latin_para_warm,kb,1,363,45745.0,126.0,0.00,0.0
latin_para_warm,hb,1,363,11832.0,32.6,0.00,0.0
latin_para_perword,runic,59,305,360.8,69.8,0.00,0.0
latin_para_perword,kb,59,305,828.7,160.3,0.00,0.0
latin_para_perword,hb,59,305,350.5,67.8,0.00,0.0
latin_word_cold,runic,1,10,341040.0,34104.0,331.00,2491327.0
arabic_run_warm,runic,1,66,4658.0,70.6,0.00,0.0
arabic_run_warm,kb,1,66,7744.0,117.3,0.00,0.0
arabic_run_warm,hb,1,66,3657.0,55.4,0.00,0.0
arabic_perword,runic,7,60,874.6,102.0,0.00,0.0
arabic_perword,kb,7,60,1266.6,147.8,0.00,0.0
arabic_perword,hb,7,60,855.9,99.8,0.00,0.0
urdu_nastaliq_warm,runic,1,81,122079.0,1507.1,0.00,0.0
urdu_nastaliq_warm,kb,1,81,99697.0,1230.8,0.00,0.0
urdu_nastaliq_warm,hb,1,81,84649.0,1045.0,0.00,0.0
arabic_marklig_warm,runic,1,8,871.0,108.9,0.00,0.0
arabic_marklig_warm,kb,1,8,1302.0,162.8,0.00,0.0
arabic_marklig_warm,hb,1,8,1011.0,126.4,0.00,0.0
tone_chainf2_warm,runic,1,19,2885.0,151.8,0.00,0.0
tone_chainf2_warm,kb,1,19,3146.0,165.6,0.00,0.0
tone_chainf2_warm,hb,1,19,1974.0,103.9,0.00,0.0
music_ctxf2_warm,runic,1,10,1052.0,105.2,0.00,0.0
music_ctxf2_warm,kb,1,20,5530.0,276.5,0.00,0.0
music_ctxf2_warm,hb,1,10,1343.0,134.3,0.00,0.0
coptic_revchain_warm,runic,1,11,1212.0,110.2,0.00,0.0
coptic_revchain_warm,kb,1,11,1903.0,173.0,0.00,0.0
coptic_revchain_warm,hb,1,11,1343.0,122.1,0.00,0.0
latin_aalt_warm,runic,1,11,1803.0,163.9,0.00,0.0
latin_aalt_warm,kb,1,11,2384.0,216.7,0.00,0.0
latin_aalt_warm,hb,1,11,1062.0,96.5,0.00,0.0
